Items,Index,BIO,OR., PRIX ,EMBALLAGE SECONDAIRE,EMBALLAGE PRIMAIRE,UNITÉS X EMB.,col. libre,Preparé pour la liste du collectif,Categorie,Nom,Brand,Brand 2,Date,Commentaires
CLEMENTINE CITRUS FRUIT 17KG 1 MA,Y0595,,MA,"44,50 $",BOITE 17KG,LBS,"37,4",,OUI,Canadawide,,,,16 déc. 2025,
Clémentine Frescadel 15x2lbs,Y0596,,ES,"66,50 $",7KG,KG,7,,OUI,Canadawide,,,,22 oct. 2024,
CLEMENTINE MAROC BTE.NOIR 15KG 1 MA,Y0597,,MA,"29,50 $",15x2lbs,,30,,OUI,Canadawide,,,,29 févr. 2024,
CLEMENTINE NADORCOTT BOITE BLEU 17KG 1 MA,Y0607,,MA,"46,50 $",17KG 1/125,UN,125,,OUI,Canadawide,,,,15 avr. 2025,
CLEMENTINE NADORCOTT BOITE BLEU 17KG 2 MA,Y0608,,MA,"46,50 $",17 KG ??,UN,184,,OUI,canadawide,,,,31 mars 2025,
CLEMENTINE NADORCOTT BOITE NOIR 15KG-1 ***,Y0609,,MA,"45,50 $",17KG / 180,UN,180,,OUI,Canadawide,,,,25 févr. 2025,
CLEMENTINE NADORCOTT BOITE NOIR 15KG-2... NEW,Y0614,,MA,"39,50 $",BOITE 15KG-33LBS,LBS,33,,OUI,Canadawide,,,,16 avr. 2024,
CLEMENTINE NADORCOTT LOVELY 1.8KG 14/16-,Y0616,,MA,"35,50 $",BOITE 15KG-204,LBS,204,,OUI,Canadawide,,,,19 avr. 2024,
CLEMENTINE ORRI 15KG 1,Y0632,,MA,"49,50 $",15KG,KG,15,,OUI,Canadawide,,,,24 févr. 2026,
CLEMENTINE TANGO AFR.VALLEY 15KG 2 ZA,Y0641,,ZA,"33,50 $",33LBS,LBS,33,,OUI,Canadawide,,,,21 oct. 2025,
CLEMENTINE TANGO FRUITONE 15KG 1 ZA,Y0642,,AR,"36,50 $",15KG/33LBS,LBS,33,,OUI,Canadawide,,,,3 oct. 2025,
CLÉMENTINES NADORCOTT 16KG,Y0644,,MA,"49,50 $",LBS/16 kg,UN,120,,OUI,Canadawide,,,,16 février 2026,
Clémentines Nadordot BOITE BLEU 15KG 1/1X  120un,Y0645,,MA,"29,50 $",LBS/15kg,LBS,33,,OUI,Canadawide,,,,10 févr. 2024,
Clémentines Nadordot Lovely 10KG,Y0646,,MA,"39,50 $",LBS/15kg,UN,116,,OUI,Canadawide,,,,8 mars 2024,
COCO SAC BEIGE 40CT DR NOPAL,Y0647,,MA,"27,50 $",LBS/10kg,LBS,22,,OUI,Canadawide,,,,8 mars 2024,
CONCOMBRE (BIO) ANGLAIS SUNSET MED ON,Y0658,BIO,QC,"14,00 $",BOITE/12,UN,12,#REF!,OUI,Canadawide,,,,25 avr. 2024,
CONCOMBRE (BIO) ANGLAIS VEG 1 1/9 MX,Y0659,BIO,QC,"16,50 $",BOITE 25,UN,25,,OUI,Canadawide,,,,16 déc. 2025,
CONCOMBRE ANGLAIS BOUNTIFUL 1 1/9 MX 50 PAR BOITE?,Y0662,,MX,"27,75 $",BOITE 1 1/9,UN,50,,OUI,Canadawide,,,,13 janv. 2026,
CONCOMBRE ANGLAIS DEL FRESCO PETIT 12 ON,Y0663,,ON,"19,50 $",BOITE 12,UN,12,,OUI,Canadawide,,,,2 septembre 2025,
CONCOMBRE ANGLAIS GEN V 12 QC ,Y0664,,MX,"23,50 $",BOITE 15KG/32,UN,32,,OUI,Canadawide,,,,14 janv. 2025,
CONCOMBRE ANGLAIS LRG 12 ON,Y0665,,QC,"21,00 $",BOITE 12,UN,12,,OUI,Canadawide,,,,24 févr. 2026,
CONCOMBRE ANGLAIS MED 12 ON,Y0666,,ON,"19,75 $",BOITE 12,UN,12,,OUI,Canadawide,,,,24 févr. 2026,
CONCOMBRE ANGLAIS NOTARO LRG 12 QC,Y0668,,QC,"5,75 $",BOITE 12,UN,12,,OUI,Canadawide,,,,8 mai 2025,
CONCOMBRE ANGLAIS NOTARO MED 12 QC,Y0669,,QC,"11,75 $",BOITE 12,UN,12,,OUI,Canadawide,,,,2 décembre 2025,
CONCOMBRE ANGLAIS PURE FLAVOR LG 12 ON,Y0670,,ON,"5,00 $",BOITE 12,UN,12,,OUI,Canadawide,,,,16 mars 2025,
CONCOMBRE ANGLAIS SUNSET 24 ON,Y0672,,ON,"12,50 $",24UN,UN,24,,OUI,Canadawide,,,,7 oct. 2025,
CONCOMBRE ANGLAIS SUNSET 8X3,Y0673, ,ON,"13,50 $",BOITE 24,UN,24,,OUI,Canadawide,,,,16 déc. 2025,
CONCOMBRE ANGLAIS SUNSET MED 6 ON,Y0676,,ON,"6,50 $",12XBOITE,UN,12,,OUI,Canadawide,,,,5 avr. 2024,
CONCOMBRE ANGLAIS SUNSET PETIT 12 ON,Y0678,,ON,"  5,75  $ ",BOITE 12,UN,12,,OUI,Canadawide,,,,4 déc. 2025,
CONCOMBRE ANGLAIS TOUNDRA MED 12 QC,Y0680, ,QC,"13,50 $",BOITE 12,UN,12,,OUI,Canadawide,,,,18 nov. 2025,
CONCOMBRE ANGLAIS TOUNDRA MOYEN 24 QC,Y0681, ,QC,"21,00 $",BOITE 24,UN,24,,OUI,Canadawide,,,,16 septembre 2025,
CONCOMBRE ANLAIS MED 12 ON,Y0682,,QC,"10,00 $",BOITE/12,UN,12,,OUI,Canadawide,,,,11 février 2025,
CONCOMBRE COCKTAIL PURE FLAVOR 12X1LBS ON,Y0683,,ON,"8,75 $",BOITE/12,UN,12,,OUI,Canadawide,,,,7 avr. 2025,
CONCOMBRE DE CHAMPS SUNFED 1,Y0684,,ON,"13,50 $",BOITE 12,UN,12,,OUI,Canadawide,,,,13 déc. 2024,
CONCOMBRE LIBANAIS AT.FRESH 12X6,Y0690,,ON,"18,50 $",BOITE 20 LBS,LBS,20,,OUI,Canadawide,,,,25 févr. 2025,
CONCOMBRE LIBANAIS COOL CUKE 20LBS ON,Y0691,,ON,"36,00 $",20LBS,LBS,20,,OUI,Canadawide,,,,22 juill. 2025,
CONCOMBRE LIBANAIS COOL CUKE CELLO 12X1,Y0692,,ON,"19,50 $",12X1(6),6,12,,OUI,Canadawide,,,,22 juill. 2025,
CONCOMBRE LIBANAIS MUCCI 12X1,Y0693,,ON,"25,50 $",12X6UN,6UN,12,,OUI,Canadawide,,,,25 nov. 2025,
CONCOMBRE LIBANAIS MUCCI 12X1 ON,Y0694,,ON,"25,50 $",12X6 OU 12X1LB,UN,12,,OUI,Canadawide,,,,8 mai 2024,
CONCOMBRE LIBANAIS NAT. FRESH 12X1 ON,Y0696,,ON,"18,50 $",12X1LBS,1LBS,12,,OUI,Canadawide,,,,15 avr. 2025,
CONCOMBRE LIBANAIS NAT. FRESH 12X6,Y0697,,ON,"11,00 $",12X6,UN,12,,OUI,Canadawide,,,,2 juin 2025,
CONCOMBRE LIBANAIS NAT. FRESH 12X6UN ON,Y0698,,ON,"9,50 $",12X6UN,6UN,12,,OUI,Canadawide,,,,20 mai 2025,
CONCOMBRE LIBANAIS NOTARO 12X6 QC,Y0699,,QC,"24,00 $",12X6UN,6UN,12,,OUI,Canadawide,,,,12 août 2025,
CONCOMBRE LIBANAIS PURE FLAVOR 12X1 ON,Y0700,,CA,"16,00 $",12X1LBS,1LBS,12,,OUI,Canadawide,,,,15 avr. 2025,
CONCOMBRE LIBANAIS QUKES SUNSET 15X9OZ ON,Y0701,,ON,"10,50 $",BOITE 15,UN,15,,OUI,Canadawide,,,,17 juin 2025,
CONCOMBRE LIBANAIS SUNSET 12X1 ON,Y0702,,ON,"9,50 $",12x1LBS,1LBS,12,,OUI,Canadawide,,,,17 juin 2025,
CONCOMBRE LIBANAIS TWO-BITE SUNSET 10X1..,Y0707,,QC,"19,50 $",VERIFIER,LBS,15,,OUI,Canadawide,,,,17 décembre 2024,
CONCOMBRE MINI GEN V 12X6MCX,Y0710,,MX,"  16,00  $ ",12X6UN,6UN,6,,OUI,Canadawide,,,,16 mai 2024,
CONCOMBRE SUPER EU,Y0716,,QC,"23,75 $",BOITE 25LBS,LBS,25,,OUI,Canadawide,,,,15 oct. 2024,
CONCOMBRE SUPER SELECT G.ROY 24 CT QC,Y0718,,QC,"13,75 $",2DZ,UN,24,,OUI,Canadawide,,,,2 juill. 2024,
CONCOMBRE WOKA PURE FLAVOR 8X3 ON,Y0719, ,ON,"16,00 $",BOITE 8X3,3UN,8,,OUI,Canadawide,,,,23 septembre 2025,
Concombres Libanais Notaro/Toundra 12x6 QC,Y0720,,QC,"14,75 $",,UN,25,,OUI,Canadawide,,,,,
COURGE (BIO) SPAGHETTI IDEAL 35LBS MX,Y0728,BIO,,"49,50 $",35 LBS-24UN,UN,24,,OUI,Canadawide,,,,9 mai 2024,
COURGE (BIO) SPAGHETTIIDEAL 35LBS MX,Y0732,BIO,,"49,50 $",BOITE 35 LBS,LBS,35,,OUI,Canadawide,,,,9 avr. 2024,
COURGE ACORN VERT MX POIVRÉ,Y0733,,MX,"24,50 $",BOITE 15,UN,15,,OUI,Canadawide,,,,8 avr. 2025,
COURGE BUTTERCUP HN,Y0734,,MX,"37,00 $",BOITE/35LBS/12UN,UN,12,,OUI,Canadawide,,,,11 février 2025,
COURGE BUTTERCUP MX (KABOCHE),Y0735,,MX,"28,50 $",12UNITÉS,UN,12,,OUI,Canadawide,,,,23 décembre 2025,
COURGE BUTTERNUT HN,Y0737,,QC,"27,50 $",BOITE/35LBS/14 EXTRALARGE,UN,14,,OUI,Canadawide,,,,13 mai 2025,
COURGE BUTTERNUT MX FORMAT MOYEN 16UN,Y0738,,HN,"23,50 $",9-11 UNITES,UN,12,,OUI,Canadawide,,,,12 avr. 2024,
COURGE BUTTERNUT QC,Y0739,,MX,"23,50 $",LARGE /10,UN,10,,OUI,Canadawide,,,,2 décembre 2025,
COURGE BUTTERNUT RICO FARMS,Y0740,,QC,"25,50 $",BOITE/35LBS/10UN VÉRIFIER,UN,10,,OUI,Canadawide,,,,14 nov. 2024,
COURGE BUTTERNUT RICO FARMS 3... ,Y0742,,MX,"49,50 $",BOITE/3LBS,LBS,35,,OUI,Canadawide,,,,9 avr. 2024,
COURGE KABOCHA GREENPOINT 35LBS - 10 MX,Y0745,,QC,"30,00 $",BOITE/35LBS/10UN VÉRIFIER,UN,10,,OUI,Canadawide,,,,8 oct. 2024,
COURGE KABOCHA IDEAL 35LBS MX ,Y0746,,FL,"24,50 $",10 PAR BOITE,UN,10,,OUI,Canadawide,,,,17 décembre 2024,
COURGE POIVRE ,Y0750,,,"32,50 $",APROX 13,UN,13,,OUI,Canadawide,,,,25 nov. 2025,
COURGE POIVRE RICO FARMS 35LBS,Y0751,,QC,"20,00 $",BOITE/35LBS/10UN VÉRIFIER,UN,10,,OUI,Canadawide,,,,8 oct. 2024,
COURGE SPAGHETTI GREENPOINT MX,Y0754,,MX,"30,50 $",16UN,UN,16,,OUI,Canadawide,,,,2 juin 2025,
COURGE SPAGHETTI RICO FARMS 35..,Y0758,,MX,"29,75 $",30LBS/16,UN,16,,OUI,Canadawide,,,,2 mars 2025,
COURGE SPAGUETTI QC,Y0763,,QC,"20,00 $",BOITE/35LBS/11UN VÉRIFIER,UN,11,,OUI,Canadawide,,,,9 déc. 2025,
Credit à facturer,Y0764,,QC,"20,00 $",BOITE/35LBS/10UN VÉRIFIER,UN,10,,OUI,Canadawide,,,,12 nov. 2024,
CRESSON B&W 12,Y0765,,,"1,75 $",un,UN,1,,OUI,Canadawide,,,,15 mars 2024,
CRESSON B&W 24,Y0766,,MX,"19,00 $",BOITE 12 PACKS,UN,12,,OUI,Canadawide,,,,24 sept. 2024,
CRESSON B&W CELLO 6 FL,Y0767,,MX,"28,50 $",BOITE 24 PACKS,UN,24,,OUI,Canadawide,,,,24 sept. 2024,
CROUTONS CESAR F.GOURMET 9X12... ,Y0769,,FL,"24,00 $",2X1.5LBS,LBS,3,,OUI,Canadawide,,,,9 avr. 2024,
CURCUMA (BIO) #FRESCADEL 12X85GR,Y0772,,,"17,50 $",boite 12,un,12,,OUI,Canadawide,,,,20 avr. 2025,
CURCUMA (BIO) RACINE 15LBS PE,Y0773,BIO,PE,"17,50 $",12X85GR,85GR,12,,OUI,Canadawide,,,,14 janv. 2025,
CURCUMA (BIO) RACINE 9KG PE,Y0774,BIO,PE,"45,50 $",15 LBS,LBS,15,,OUI,Canadawide,,,,14 janv. 2025,
DANDELION (BIO) ROUGE LAKESIDE 12 CA,Y0783,BIO,CA,"45,50 $",LBS,LBS,35,,OUI,Canadawide,,,,21 juin 2024,
DANDELION VERT 12 QC,Y0788,,QC,"21,50 $",BOITE/12,UN,12,,OUI,Canadawide,,,,8 mai 2024,
DANDELION VERT BKR 24 EU,Y0789,,QC,"24,00 $",BOITE/12,UN,12,,OUI,Canadawide,,,,24 sept. 2024,
DATTES (BIO) MAZAFATI 12X400GR IR,Y0794,BIO,IR,"49,50 $",400g,400grams,12,,OUI,Canadawide,,,,17 mai 2024,
DATTES (BIO) NOUR 12X500GR TN,Y0795,BIO,IR,"  49,50  $ ",12X500GR,500GR,12,,OUI,Canadawide,,,,25 mars 2025,
DATTES MEDJOOL BARD VALLEY PREMIUM 5KG,Y0796,BIO,TN,"44,50 $",250g,250grams,24,#REF!,OUI,Canadawide,,,,19 mars 2024,
ECHALOTE BLANC VAES 3DZ QC,Y0804,,QC,"34,50 $",3DZ,UN,36,,OUI,Canadawide,,,,2 juin 2025,
ECHALOTE FRAIS  VAES 4DZ QC,Y0805,,QC,"  20,00  $ ",4DZ,UN,48,,OUI,Canadawide,,,,14 oct. 2025,
ECHALOTE FRAIS 1DZ QC,Y0806,,QC,"7,00 $",1DZ,UN,12,,OUI,Canadawide,,,,17 juin 2025,
ECHALOTE FRAIS DZ QC,Y0807,,MX,"21,50 $",4DZ,UN,48,,OUI,Canadawide,,,,25 févr. 2025,
ECHALOTE FRAIS O.KING 4DZ MX,Y0816,,MX,"16,00 $",4X12,UN,48,,OUI,Canadawide,,,,27 mai 2025,
ECHALOTE FRAIS O.KING 4DZ MX MURANAKA 2X2...,Y0817,,MX,"20,00 $",4DZ,UN,48,,OUI,Canadawide,,,,10 déc. 2024,
ECHALOTE FRAIS SANS GLACE MURANAKA 2X2...,Y0822,,MX,"34,50 $",4DZ,UN,48,,OUI,Canadawide,,,,19 avr. 2024,
ECHALOTE SANS GLACE BAJA 4DZ MX,Y0823,,QC,"37,00 $",4DZ-48,UN,48,,OUI,Canadawide,,,,18 nov. 2025,
ECHALOTE SANS GLACE MURANAKA 4DZ MX,Y0824,,MX,"16,00 $",4DZ,UN,48,,OUI,Canadawide,,,,13 déc. 2024,
ECHALOTE SANS GLACE NOVA 2X24 MX,Y0825,,QC,"  18,00  $ ",4DZ-48,UN,48,,OUI,Canadawide,,,,25 mars 2025,
ECHALOTE SANS GLACE VAES 4DZ QC,Y0826,,QC,"24,50 $",4DZ/48,UN,48,,OUI,Canadawide,,,,29 juill. 2025,
ECHALOTE SECHE 10LBS,Y0827,,QC,"18,00 $",10 LBS,LBS,10,,OUI,Canadawide,,,,12 août 2025,
Echalotte frais dz QC,Y0838,,QC,"  29,50  $ ",3DZ,UN,36,,OUI,Canadawide,,,,4 juin 2024,
ECHALOTTE SANS GLACE ALTAR 4DZ MX,Y0839,,QC,"8,00 $",12 paquet,UN,12,,OUI,Canadawide,,,,14 mars 2024,
ECHALOTTE SANS GLACE NOVA 2X24 MX,Y0840,,MX,"29,50 $",4DZ,UN,48,,OUI,Canadawide,,,,10 janvier 2025,
ECHALOTTE SANS GLACE O.KING 4DZ MX,Y0841,,MX,"24,50 $",2X24,UN,48,,OUI,Canadawide,,,,25 avril 2025,
ENDIVE #FRESCADEL,Y0842,,MX,"33,00 $",4DZ,UN,48,,OUI,Canadawide,,,,7 janvier 2025,
ENDIVE BELGIQUE 10LBS ROUGE 3KG NL,Y0845,,BE,"44,75 $",10LBS,LBS,10,,OUI,Canadawide,,,,11 mars 2025,
"ENDIVE BELGIQUE BELAORTA 4,5KG BE",Y0846,,BE,"36,00 $",BOITE 10LBS,LBS,10,,OUI,Canadawide,,,,25 avr. 2025,
EPINARD (BIO) BEBE JAG,Y0850,BIO,EU,"43,00 $",BOITE/4X2.5LBS,LBS,10,,OUI,Canadawide,,,,17 décembre 2024,
EPINARD BCH  2DZ QC,Y0853, ,QC,"28,50 $",2DZ,UN,24,,OUI,Canadawide,,,,14 oct. 2025,
EPINARD BUNCH NATURALLY ORG 2...,Y0859, ,CA,"23,50 $",BOITE/4X2.5LBS,LBS,10,,OUI,Canadawide,,,,19 avr. 2024,
EPINARD CELLO FRISCO 10oz,Y0861,,,"29,50 $",12x285grams,285gr,12,,OUI,Canadawide,,,,19 mars 2024,
FEVES (BIO) FAVA 10X370GR QC,Y0865,,,"0,00 $",0,0,0,,OUI,Canadawide,,,,XCORRIGER,
FEVES (BIO) VERT #FRESCADEL 12X340GR,Y0870,BIO,QC,"22,50 $",10X370gr,370gr,10,,OUI,Canadawide,,,,14 mars 2024,
FEVES (BIO) VERT SL 30 LBS MX,Y0872,BIO,MX,"  54,50  $ ",BOITE 30 LBS,LBS,30,,OUI,Canadawide,,,,20 janv. 2026,
FEVES FAVA CA,Y0873,BIO,MX,"49,50 $",25 LBS,LBS,25,,OUI,Canadawide,,,,27 déc. 2024,
FEVES JAUNE F.ROBERT 25LBS QC,Y0883,,QC,"27,75 $",25LBS,LBS,25,,OUI,Canadawide,,,,7 oct. 2025,
FEVES RUNNER 4KG MA,Y0884,,QC,"36,75 $",20LBS,LBS,20,,OUI,Canadawide,,,,2 juill. 2024,
FEVES VERT BTE.BOIS MATTAMUSKEET NC,Y0885,,NC,"22,75 $",BOITE 30LBS,LBS,30,,OUI,Canadawide,,,,2 juin 2025,
FEVES VERT DAN KING EU,Y0886,,EU,"27,00 $",,,,,OUI,Canadawide,,,,8 juin 2025,
FEVES VERT F.ROBERT 25LBS QC,Y0887,,QC,"38,75 $",25LBS,LBS,25,,OUI,Canadawide,,,,16 septembre 2025,
FEVES VERT SARKS EU,Y0888,,NC,"57,50 $",BOITE 26LBS,LBS,26,,OUI,Canadawide,,,,18 juin 2024,
FIGUES FRAIS 1/2 TRAY 16 BR,Y0889,,MX,"28,50 $",BOITE/25 LBS,LBS,25,#REF!,OUI,Canadawide,,,,18 févr. 2024,
FRAISE (BIO) DRISCOLL 8X1 CA/MX,Y0894,BIO,AHUNT,"1,40 $",125GR 5 À 10 TIGES,UN,1,,OUI,Canadawide,,JARDIN AU COURANT,,20 juin 2024,
FRAISE BELLA VITA 8X1 CA,Y0895,BIO,,"49,50 $",BOITE,8X1,8,,OUI,Canadawide,,,,9 avr. 2024,
FRAISE DRISCOLL 8X1 CA/MX,Y0896,,CA,"14,50 $",BOITE,8X1,8,,OUI,Canadawide,,,,3 mai 2024,
FRAISE DRISCOLL LE SWEET 8X14oz CA/MX,Y0900,,MX/CA,"18,50 $",BOITE,8X1,8,,OUI,Canadawide,,,,2 mai 2024,
FRAISE EXPO 8X1 MX,Y0901,,MX,"10,50 $",8X1,1LBS,8,,OUI,Canadawide,,,,16 mars 2025,
FRAISE QC PITRE 10X1LT,Y0906,,QC,"33,75 $",10X1LT,1LT,10,,OUI,Canadawide,,,,25 août 2025,
FRAISE QC PITRE 12X750,Y0907,,QC,"32,75 $",12X750ML,750ML,12,,OUI,Canadawide,,,,12 août 2025,
FRAISE QC PITRE 8X1.5L,Y0908,,QC,"29,50 $",BOITE 10X1LT,UN,10,,OUI,Canadawide,,,,24 sept. 2024,
FRAISE QC SAVOURA 10X541ML QC,Y0909,,QC,"23,50 $",BOITE 8X1LT,UN,8,,OUI,Canadawide,,,,24 sept. 2024,
FRAISE QC SAVOURA 12x7750ML QC,Y0910,,QC,"29,75 $",12X750ML,750ML,12,,OUI,Canadawide,,,,29 juill. 2025,
FRAMBOISE (BIO) DRISCOLL 12X6oz CA/MX,Y0911,,QC,"25,00 $",12x1,Casseau,12,,OUI,Canadawide,,,,07/06/2024,
GINGEMBRE (BIO) #FRESCADEL 12X85GR PE,Y0917,,PE,"17,50 $",12x85gr,UN,12,,OUI,Canadawide,,,,18 nov. 2025,
GINGEMBRE (BIO) 18LBS PE,Y0918,BIO,PE,"34,50 $",18 LBS,LBS,18,,OUI,Canadawide,,,,9 déc. 2025,
GINGEMBRE (BIO) 30LBS PE,Y0919,BIO,PE,"58,50 $",30 LBS,LBS,30,,OUI,Canadawide,,,,20 janv. 2026,
GINGEMBRE (BIO) 30LBS PE- PORTIONS DE 200GRAMMES,Y0920,BIO,PE,"0,86 $",30LBS / 200 GR,200GR,1,,OUI,Canadawide,,,,20 janv. 2026,
H.PLANTS (BIO) CONCOMBRE MIXTE POT BIO.DE..,Y0921,BIO,PE,"87,50 $",30LBS,LBS,30,,OUI,Canadawide,,,,14 janv. 2025,
Herbes (Bio) 6 paquets basilic thai,Y0930,BIO,,"9,00 $",paquets,,6,,OUI,Canadawide,,,,,
HERBES (BIO) ESTRAGON CLAM,Y0936,BIO,QC,"  13,50  $ ",CLAM X 6,UN,6,,OUI,Canadawide,,,,8 mai 2024,
HERBES BASILIC POT AQUAVERTI 8X1 QC,Y0950,,CL,"23,00 $",BOITE 12X42GR,42GR,12,,OUI,Canadawide,,,,16 avr. 2024,
HERBES CIBOULETTE 1LBS - STIFF,Y0956,,QC,"12,50 $",1 LBS,LBS,1,,OUI,Canadawide,,,,29 avr. 2025,
HERBES ESTRAGON 1 KILO - STIFF,Y0960,BIO,QC,"  9,00  $ ",6X?,UN,6,,OUI,Canadawide,,,,7 juin 2024,
HERBES MARJOLAINE 1KG,Y0964,BIO,QC,"  9,00  $ ",6X?,UN,6,,OUI,Canadawide,,,,7 juin 2024,
HERBES ORIGAN 1 KILO - STIFF,Y0970,,MA,"  22,50  $ ",3DZ,UN,36,,OUI,Canadawide,,,,8 mai 2024,
HONEY CRISP STEMILT 100... ,Y0982,BIO,QC,"  9,00  $ ",6X?,UN,6,,OUI,Canadawide,,,,7 JIN 2024,
JUS CITRON (BIO) SUNTREE 24X125ML ,Y0989,BIO,MX,"29,50 $",24X125ML,125ML,24,,OUI,Canadawide,,,,25 avr. 2025,
JUS LIME (BIO) SUNTREE 24X125ML ,Y0990,BIO,MX,"29,50 $",24X125ML,125ML,24,,OUI,Canadawide,,,,25 avr. 2025,
KALE (BIO) NOIR LAKESIDE 24 CA,Y0993,BIO,MX,"29,50 $",BOITE 24,UN,24,,OUI,Canadawide,,,,11 février 2025,
KALE (BIO) NOIR NATURALLY ORG 24 CA/MX,Y0994,BIO,CA,"29,50 $",BOITE 24,UN,24,,OUI,Canadawide,,,,15 oct. 2024,
KALE (BIO) VERT BOSKOVICH 24 MX,Y0998,BIO,CA,"24,50 $",24PAQUETS,,24,,OUI,Canadawide,,,,8 mars 2024,
KALE (BIO) VERT GLENORRA 24 QC,Y1000,BIO,CA,"39,50 $",BOITE 24UN,UN,24,,OUI,Canadawide,,,,26 juin 2024,
Kale (Bio) Vert Lakeside 24 CA,Y1001,BIO,QC,"24,00 $",BOITE 24UN,UN,24,,OUI,Canadawide,,,,30 juill. 2024,
KALE (BIO) VERT NATURALLY ORG 24 CA/MX,Y1002,BIO,CA,"24,50 $",24PAQUETS,,24,,OUI,Canadawide,,,,6 mars 2024,
KALE NOIR NATURALLY ORG 24 CA/. ,Y1004,,QC,"  25,00  $ ",BOITE/12,UN,12,,OUI,Canadawide,,,,15 oct. 2024,
KALE VERT 12 QC,Y1006,,QC,"23,50 $",BOITE 12,UN,12,,OUI,Canadawide,,,,9 septembre 2025,
KIWI VERT ANIFI 9KG VF-27 GR,Y1028,,,"55,50 $",10KG/80UN,UN,80,,OUI,Canadawide,,,,22 mai 2024,
KIWI VERT ANIFI 9KG VF-39 GR 80 GRAMS 112 KIWIS,Y1030,,GR,"42,75 $",9KG/112UN,UN,112,,OUI,Canadawide,,,,13 janv. 2026,
KIWI VERT CLAMSHELL #FRESCADEL 10X908GR,Y1031,,,"51,50 $",10KG/126UN,UN,125,,OUI,Canadawide,,,,22 mai 2024,
KIWI VERT SOFRUCCO VF-36 CL,Y1036,,CL,"  54,50  $ ",BOITE 105 ?,UN,105,,OUI,Canadawide,,,,10 juin 2025,
KIWI VERT TOP FRESH VF-25 9KG IT QTE APROX  110-125,Y1037,,IT,"49,75 $",APROX 110,UN,110,,OUI,Canadawide,,,,29 avr. 2025,
KIWI VERT TOP FRESH VF-30 9KG IT,Y1038,,IT,"49,75 $",9KG / 115/125,UN,115,,OUI,Canadawide,,,,16 mars 2025,
LA MILANAISE FARINE BLÉ ENTIER BIO,Y1040,BIO,QC,"1,82 $",11KG,KG,1,,OUI,COSTCO,,,,14 oct. 2024,
LA MILANAISE FARINE NON BLANCHIE BIO,Y1041,BIO,QC,"1,82 $",11KG,KG,1,,OUI,COSTCO,,,,14 oct. 2024,
LAITUE (BIO)  ROMAINE PUR DELYS 24 QC,Y1042,BIO,QC,"2,00 $",11KG,KG,1,,OUI,COSTCO,,,,14 oct. 2024,
LAITUE (BIO) BOSTON OCEANSIDE 24 CA,Y1043,BIO,CA,"32,50 $",24UN,UN,1,,OUI,Canadawide,, ,,24 sept. 2024,
LAITUE (BIO) CHICOREE LAKESIDE 24 EU,Y1046,BIO,,"49,50 $",BOITE/24,UN,24,,OUI,Canadawide,,,,17 mai 2024,
LAITUE (BIO) COEURS ROM DOLE 12X3 CA,Y1048,BIO,CA,"39,50 $",12X3,1X3,12,,OUI,Canadawide,,,,24 déc. 2024,
LAITUE (BIO) COEURS ROM FOXY 12X3 MX/CA,Y1049,BIO,ÇA ,"22,50 $",12X3,1X3,12,,OUI,Canadawide,,,,24 déc. 2024,
LAITUE (BIO) ESCAROLE LAKESIDE 24 EU,Y1050,BIO,,"59,00 $",12X3,3,12,,OUI,Canadawide,,,,16 avr. 2024,
LAITUE (BIO) ICEBERG #FRESCADEL 12 CA,Y1058,BIO,,"27,50 $",BOITE 24,UN,24,,OUI,Canadawide,,,,8 oct. 2024,
LAITUE (BIO) VARIÉE - BOSTON - FRISÉE ROUGE,Y1066,BIO,CA,"47,50 $",BOITE 24,UN,24,,OUI,Canadawide,,,,14 janv. 2025,
LAITUE ARTISAN T&A 12X4 CA,Y1067,BIO,CA,"1,40 $",200GR,UN,1,,OUI,Canadawide,,JARDIN AU COURANT,,20 juin 2024,
Laitue BIO FEUILLE VERTE FOXY  24 CA,Y1071,BIO,,"24,50 $",BOITE,12x3,12,,OUI,Canadawide,,,,16 févr. 2024,
LAITUE BOSTON ANDYBOY 24 CA,Y1072,,NJ,"  22,00  $ ",BOITE/24,UN,24,,OUI,Canadawide,,,,29 oct. 2024,
LAITUE BOSTON VERT 18,Y1076, ,QC,"20,50 $",BOITE,UN,18,,OUI,Canadawide,,,,22 juill. 2025,
LAITUE CHICOREE 12 QC,Y1077,,QC,"20,00 $",BOITE 12,UN,12,,OUI,Canadawide,,,,25 août 2025,
LAITUE COEURS ROM ANGELINA 12X3 CA,Y1081,,,"74,50 $", 12X3=36 UN,UN,36,,OUI,Canadawide,,,,2 mai 2024,
LAITUE COEURS ROM BABY HEARTS ANDYBOY 12X3 MX,Y1082,,MX,"35,50 $",BOITEX12,3,12,,OUI,Canadawide,,,,24 févr. 2026,
LAITUE COEURS ROM DOLE 12X3 EU,Y1087,,MX,"22,50 $",12X3,3UN,12,,OUI,Canadawide,,,,25 févr. 2025,
LAITUE COEURS ROM FAMILY FRESH 12X3 MX,Y1088,,,"22,50 $",BOITE/12X3,3,12,,OUI,Canadawide,,,,2 mars 2025,
LAITUE COEURS ROM NOTARO 12X3 QC,Y1090,,QC,"22,50 $",12X3,3,12,,OUI,Canadawide,,,,3 oct. 2025,
