Items,Index,BIO,OR., PRIX ,EMBALLAGE SECONDAIRE,EMBALLAGE PRIMAIRE,UNITÉS X EMB.,col. libre,Preparé pour la liste du collectif,Categorie,Nom,Brand,Brand 2,Date,Commentaires
BROCOLI 18 QC,Y0227,,QC,"25,50 $",BOITE 18,UN,18,,OUI,Canadawide,,,,15 oct. 2024,
BROCOLI ANDYBOY 18 CA,Y0228,,CA,"  35,75  $ ",BOITE/18,UN,18,,OUI,Canadawide,,,,16 déc. 2025,
BROCOLI BIO LAKESIDE 14 CA,Y0229,BIO,CA,"18,50 $",BOITE/14,UN,14,,OUI,Canadawide,,,,14 mars 2024,
BROCOLI BIOFOXY 14 MX / CA,Y0230,BIO,MX,"18,50 $",BOITE/14,UN,14,,OUI,Canadawide,,,,14 mars 2024,
BROCOLI COUSINEAU 14 GLACE QC ,Y0232,,QC,"34,75 $",BOITE 14,UN,14,,OUI,Canadawide,,,,25 juin 2025,
BROCOLI FOXY 14  CA,Y0234,,CA,"27,75 $",BOITE 14,UN,14,,OUI,Canadawide,,,,14 janv. 2025,
BROCOLI FOXY 14 CA,Y0235, ,CA,"31,75 $",BOITE/14,UN,14,,OUI,Canadawide,,,,16 déc. 2025,
BROCOLI FRESCADEL ENV,Y0237,,,"32,50 $",BOITE/14,UN,14,,OUI,Canadawide,,,,14 mars 2024,
BROCOLI SOREL 18 GLACE QC,Y0241,,QC,"24,75 $",BOITE/18,UN,18,,OUI,Canadawide,,,,2 septembre 2025,
BROCOLI SOREL14 GLACE QC,Y0242,,QC,"30,75 $",BOITE 14,UN,14,,OUI,Canadawide,,,,22 juill. 2025,
BROCOLI T&A 14 CA ,Y0243,,,"39,50 $",,,,,OUI,Canadawide,,,,9 mai 2024,
CANTALOUP GIFAR 15 QC,Y0250,,QC,"7,50 $",BOITE 15,UN,16,,OUI,Canadawide,,,,3 oct. 2025,
CANTALOUP KANDY 12 UN MX,Y0251,,MX,"  24,75  $ ",12XBOITE,UN,12,,OUI,Canadawide,,,,24 févr. 2026,
CANTALOUP MIKES 9 MX,Y0252,,MX,"  21,75  $ ",9XBOITE,UN,9,,OUI,Canadawide,,,,24 févr. 2026,
CARAMBOLE 18/24 BR,Y0253,,BR,"29,50 $",BOITE 18/24,UN,18,,OUI,Canadawide,,,,12 avr. 2024,
CAROTTE 10LBS QC - STIFF,Y0283,,QC,"4,00 $",10 LBS,10LBS,10,,OUI,Canadawide,,,,15 oct. 2024,
CAROTTE EARTHBOUND 24X2 EU,Y0295,,,"  55,50  $ ",,,,,OUI,Canadawide,,,,8 mai 2024,
CAROTTE ENV 10X5 QC,Y0296,,QC,"24,50 $",10X5LBS ,LBS,50,,OUI,Canadawide,,,,31 déc. 2024,
CAROTTE ENV 24X2 ON,Y0297,,ON,"35,00 $",24x2lbs,LBS,48,,OUI,Canadawide,,,,4 mars 2025,
CAROTTE ENV ATV 24X2LBS EU,Y0298,,EU,"36,00 $",24X2LBS,LBS,48,,OUI,Canadawide,,,,8 juin 2025,
CAROTTE ENV GWILLIMDALE 24X2LBS MX,Y0299,,MX,"41,50 $",24X2LBS,2LBS,24,,OUI,Canadawide,,,,15 juill. 2025,Y0271
CAROTTE ENV PIER C 24X2 MX,Y0300,,MX,"38,75 $",24X2LBS,2LBS,24,,OUI,Canadawide,,,,2 juin 2025,
CAROTTE FEUILLE ARC-EN-CIEL LAK...,Y0301,,,"  20,50  $ ",,,,,OUI,Canadawide,,,,8 mai 2024,
CAROTTE FEUILLE BOSKOVICH 24 MX,Y0302,,,"  20,50  $ ",,,,,OUI,Canadawide,,,,8 mai 2024,
CAROTTE FEUILLE LAKESIDE 24 CA/...,Y0303,,,"  20,50  $ ",,,,,OUI,Canadawide,,,,8 mai 2024,
CAROTTE JUMBO PIER C 50LBS MX,Y0306,,MX,"35,00 $",50LBS,LBS,50,,OUI,Canadawide,,,,20 mai 2025,
CAROTTE KERN RIDGE ENV 10X5 CA,Y0307,,,"  55,50  $ ",,,,,OUI,Canadawide,,,,8 mai 2024,
CAROTTE MINI EARTHBOUND 24X1 EU,Y0309,,,"  49,50  $ ",,,,,OUI,Canadawide,,,,8 mai 2024,
CAROTTE NANTAISE 25LBS MX,Y0313,,MX,"37,50 $",LBS,25LBS,25,,OUI,Canadawide,,,,13 mai 2025,
CAROTTE NANTAISE 25LBS QC,Y0314,,QC,"28,50 $",LBS,25LBS,25,,OUI,Canadawide,,,,3 oct. 2025,
CAROTTE NANTAISE COULEUR 25LBS QC,Y0316,,QC,"36,50 $",25 LBS,LBS,25,,OUI,Canadawide,,,,16 déc. 2025,
CAROTTE ROUGE 25LBS QC,Y0318,,QC,"26,50 $",25LBS,LBS,25,,OUI,Canadawide,,,,12 nov. 2024,
Carottes Env 10x5 lbs ON,Y0322,,ON,"37,50 $",10X5LBS,5LBS,50,,OUI,Canadawide,,,,16 févr. 2024,
Carottes Env Gariepy 10x5 lbs QC,Y0323,,QC,"33,75 $",10X5LBS,5LBS,50,,OUI,Canadawide,,,,16 févr. 2024,
Carottes Env Vegco 10x5 lbs QC,Y0324,,QC,"33,75 $",10X5LBS,5LBS,50,,OUI,Canadawide,,,,16 févr. 2024,
Carottes Jumbo #1 50 lb QC,Y0325,,QC,"28,00 $",50lbs,LBS,50,,OUI,Canadawide,,,,10 févr. 2024,
CELERI (BIO) BOSKOVICH ENV 24 MX,Y0327,BIO,MX,"39,50 $",ENV 24,UN,24,,OUI,Canadawide,,,,15 avr. 2025,
CELERI (BIO) EARTHBOUND ENV 30 CA/MX,Y0328,BIO,MX,"39,50 $",BOITE/30,UN,30,,OUI,Canadawide,,,,4 nov. 2024,
CELERI (BIO) FOXY ENV 30 CA/MX,Y0329,BIO,MX,"39,50 $",BOITE/30,UN,30,,OUI,Canadawide,,,,4 nov. 2024,
CELERI (BIO) RAVE LAKESIDE 25LBS CA,Y0331,BIO,CA,"39,50 $",25LBS,LBS,25,,OUI,Canadawide,,,,29 juill. 2025,
CELERI (RAVE) BTE.10KG NL,Y0333,,NL,"29,50 $",BOITE/10UN,LBS,22,,OUI,Canadawide,,,,29 avr. 2025,
CELERI (RAVE) QC 20 LBS 11UN,Y0334,,QC,"17,75 $",BOITE/11UN,UN,11,,OUI,Canadawide,,,,13 janv. 2026,
CELERI (RAVE) SAC 10KG NL 9-11,Y0335,,NL,"20,00 $",SAC/11,UN/2LBS,11,,OUI,Canadawide,,,,3 mai 2024,
CELERI BABIA ENV 24 MX,Y0336,,MX,"  20,00  $ ",BOITE 20,UN,24,,OUI,Canadawide,,,,2 mai 2025,
Céleri BIO Earth Bound 30 ,Y0337,BIO,CA/MX,"32,50 $",BOITE,UN,30,,OUI,Canadawide,,,,29 févr. 2024,
CELERI COEURS OCEAN MIST 18X2 CA ,Y0338,,CA,"  29,75  $ ",,UN,18,#REF!,OUI,Canadawide,,,,16 févr. 2026,
CELERI DOLE  24 EU,Y0341,,EU,"34,75 $",BOITE 24,UN,24,,OUI,Canadawide,,,,17 déc. 2024,
CELERI DOLE ENV 30 EU,Y0342,,EU,"  27,75  $ ",BOITE 30,UN,30,,OUI,Canadawide,,,,9 mars 2025,
CELERI EARTHBOUND ENV 24 CA/MX ,Y0343,,,"  89,50  $ ",,,,,OUI,Canadawide,,,,8 mai 2024,
CELERI ENV 30 MX,Y0344,,MX,"  22,75  $ ",BOITE 30,UN,30,,OUI,Canadawide,,,,29 avr. 2025,
CELERI FOXY ENV 30 CA/MX ,Y0345,,MX,"45,75 $",30XBOITE,UN,30,,OUI,Canadawide,,,,18 nov. 2025,
CELERI OCEAN MIST ENV 24 CA,Y0347,,CA,"36,50 $",BOITE/24,UN,24,,OUI,Canadawide,,,,2 juin 2025,
CELERI OCEAN MIST ENV 30 CA,Y0348,,CA,"36,50 $",BOITE/30,UN,30,,OUI,Canadawide,,,,2 juin 2025,
CELERI RAVE LAKESIDE 25LBS CA ,Y0349,,,"  59,50  $ ",,,,,OUI,Canadawide,,,,8 mai 2024,
CELERI RGR ENV 30 QC,Y0350,,QC,"20,00 $",BOITE/30,UN,30,,OUI,Canadawide,,,,11 octobre 2024,
CELERI RIENDEAU ENV 24 QC,Y0351,,QC,"26,50 $",BOITE 24,UN,24,,OUI,Canadawide,,,,14 oct. 2025,
